,Nearest Neighbour Distance,Polarization
0,4.675710585974586,2.780305140010921
1,4.678258553669306,2.7334007776829696
2,4.702973723268887,2.798810245827649
3,4.639336339327268,2.678721064289274
4,4.622026040524447,2.6922657330386075
5,4.614644812922092,2.6311074169018718
6,4.562518169142661,2.6719207866077013
7,4.605600528317535,2.6454098271158606
8,4.645576683907007,2.569444520531996
9,4.71583851341725,2.618593328015172
10,4.768447394302828,2.561231107787407
11,4.905090166618475,2.624935332701191
12,4.91373900595099,2.5633715185581556
13,4.887049524222816,2.6727305292420374
14,4.847415020222212,2.6943832584016176
15,4.888766748904633,2.6583667425171553
16,4.915440581955031,2.5658445157605376
17,4.863182073072288,2.5625818738188393
18,4.675922459901603,2.530291692923684
19,4.506634963930116,2.592169474164458
20,4.468603328765083,2.6318000346327715
21,4.5498144420171975,2.6274378714992563
22,4.534061542440613,2.659049025396773
23,4.535464795617557,2.6990430316632255
24,4.50591345298314,2.718982257874603
25,4.505991076973552,2.557530942452347
26,4.587533095343715,2.578237612450449
27,4.698271703142989,2.619136983458872
28,4.670916365067919,2.8002781419184917
29,4.663498864568117,2.622390271445374
30,4.610468662237301,2.6200924541311443
31,4.69986128847904,2.6050919443916634
32,4.846305457695553,2.6370771102740536
33,4.915778311733811,2.6280853046440336
34,4.968118239273634,2.6241607571230796
35,4.9683627301267155,2.7411832104779226
36,5.072668083205556,2.71603979653929
37,5.044802722552435,2.7948403409927365
38,4.913723063912596,2.7201047424631986
39,4.82067074978711,2.7009833037287767
40,4.718230200262406,2.5279056951853778
41,4.654973692887015,2.5900162736961665
42,4.573155171133714,2.377741168637363
43,4.5642341428162805,2.5390054722853117
44,4.5329439454350124,2.4952253526011656
45,4.60713049564164,2.564195011721447
46,4.62240654872911,2.6135782827337444
47,4.6269126258695294,2.6619738304872294
48,4.656340858711808,2.520354835518458
49,4.602505447702172,2.6408978703981596
50,4.623893853959307,2.606663709814822
51,4.7102490207739764,2.647577477033509
52,4.795888325573753,2.6534544274716896
53,4.9252975360738285,2.5920817875230178
54,5.002410077634888,2.5863389136197408
55,4.93336389070073,2.620231634836398
56,4.7806925637225115,2.610360873064782
57,4.780570146330191,2.5772712594241787
58,4.817712117697808,2.685631765421052
59,4.725543951520435,2.6975944304505566
60,4.592359342413853,2.6005706121810706
61,4.541983305754975,2.6835920794148658
62,4.495278206751736,2.6584382851773567
63,4.475257969536155,2.678201354511428
64,4.533394547297312,2.686010658365083
65,4.602975474912023,2.742541477176382
66,4.688839585255671,2.7472908613321314
67,4.807182743782273,2.753498434694832
68,4.937436021139777,2.726993583156183
69,4.909827448021115,2.6785336716214245
70,4.938337801105718,2.597173507916515
71,4.900260743158407,2.6083016074253758
72,4.835297454605858,2.6435338431521993
73,4.782736788640722,2.5811611703740827
74,4.785591421964721,2.6109271093477338
75,4.7275490614292,2.550317694597722
